,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,ajdabiya,30.7554,20.2263,14.76,57,93,8.18,LY,1616471979
135,westport,41.1415,-73.3579,6.11,81,1,2.06,US,1616471980
136,bethel,41.3712,-73.414,5.0,70,1,0.47,US,1616471981
137,victoria,22.2855,114.1577,20.56,58,97,1.34,HK,1616471692
138,saint-philippe,-21.3585,55.7679,28.0,65,0,2.06,RE,1616471981
139,sibolga,1.7427,98.7792,29.49,64,100,1.8,ID,1616471982
140,grindavik,63.8424,-22.4338,2.0,75,75,12.86,IS,1616471982
141,saint george,37.1041,-113.5841,13.33,24,1,2.06,US,1616471982
142,ponta do sol,32.6667,-17.1,12.78,55,13,3.13,PT,1616471982
143,noumea,-22.2763,166.4572,28.0,57,90,4.12,NC,1616471730
144,surab,28.4914,66.2585,12.94,25,0,5.13,PK,1616471983
145,airai,-8.9266,125.4092,21.65,76,98,0.78,TL,1616471983
146,mount gambier,-37.8333,140.7667,24.0,60,90,4.12,AU,1616471983
147,avarua,-21.2078,-159.775,28.0,78,53,1.54,CK,1616471984
148,provideniya,64.3833,-173.3,-15.0,61,0,1.76,RU,1616471984
149,cornwall,45.0181,-74.7281,1.0,60,1,2.47,CA,1616471984
150,krasnoselkup,65.7,82.4667,-13.53,92,99,5.17,RU,1616471984
151,mujiayingzi,42.1167,118.7833,13.98,15,100,5.82,CN,1616471984
152,kirakira,-10.4544,161.9205,28.83,75,100,2.46,SB,1616471985
153,guerrero negro,27.9769,-114.0611,14.17,81,98,7.81,MX,1616471985
154,bredasdorp,-34.5322,20.0403,19.0,72,19,6.17,ZA,1616471985
155,port elizabeth,-33.918,25.5701,13.0,94,20,1.54,ZA,1616471983
156,goderich,43.7501,-81.7165,12.0,35,100,3.09,CA,1616471986
157,praya,14.9215,-23.5087,19.0,77,20,6.69,CV,1616471986
158,lepley,54.3092,42.8599,-3.35,97,100,1.16,RU,1616471986
159,slavonice,48.9975,15.3515,-1.11,83,100,3.6,CZ,1616471986
160,sijunjung,-0.6876,100.9537,28.29,74,96,1.12,ID,1616471986
161,sikasso,10.9167,-7.0,26.87,59,96,2.2,ML,1616471987
162,codrington,-38.2667,141.9667,20.25,75,93,3.51,AU,1616471987
163,lompoc,34.6391,-120.4579,12.0,76,90,5.14,US,1616471987
164,vila franca do campo,37.7167,-25.4333,15.0,88,40,2.57,PT,1616471987
165,lagoa,39.05,-27.9833,13.18,70,100,10.09,PT,1616471988
166,alingsas,57.9303,12.5335,1.0,100,90,3.09,SE,1616471988
167,norman wells,65.282,-126.8329,-20.0,71,20,2.57,CA,1616471988
168,corrente,-3.7367,-43.3394,22.09,99,100,0.88,BR,1616471988
169,castro,-24.7911,-50.0119,17.26,92,100,1.11,BR,1616471988
170,bhusawal,21.05,75.7667,32.74,25,56,3.34,IN,1616471989
171,pumiao,22.75,108.4833,18.0,55,0,1.0,CN,1616471989
172,hovd,48.0056,91.6419,4.49,21,98,1.16,MN,1616471989
173,luis correia,-2.8792,-41.6669,24.28,87,98,1.83,BR,1616471990
174,faanui,-16.4833,-151.75,28.77,73,11,6.71,PF,1616471990
175,karratha,-20.7377,116.8463,32.79,40,3,4.56,AU,1616471895
176,visakhapatnam,17.69,83.2093,30.0,54,20,1.03,IN,1616471886
177,jiuquan,39.7432,98.5174,10.49,11,65,2.01,CN,1616471786
178,mandalgovi,45.7625,106.2708,6.04,25,8,6.83,MN,1616471991
179,chokurdakh,70.6333,147.9167,-22.48,87,92,4.66,RU,1616471992
180,ankang,32.68,109.0172,18.66,40,32,2.96,CN,1616471874
181,hilo,19.7297,-155.09,21.0,83,90,3.09,US,1616471951
182,upernavik,72.7868,-56.1549,-23.46,96,100,2.99,GL,1616471993
183,rurrenabaque,-14.4413,-67.5278,20.16,99,100,0.81,BO,1616471993
184,patitirion,39.15,23.8667,10.0,93,75,7.72,GR,1616471993
185,ciro marina,39.3732,17.126,3.89,100,90,5.66,IT,1616471993
186,longyearbyen,78.2186,15.6401,-9.0,79,40,13.89,SJ,1616471994
187,corvallis,44.5646,-123.262,5.56,89,20,4.12,US,1616471994
188,kodiak,57.79,-152.4072,1.0,80,90,2.57,US,1616471994
189,linguere,15.3953,-15.1193,23.0,60,0,2.06,SN,1616471994
190,sorong,-0.8833,131.25,28.83,70,83,2.95,ID,1616471995
191,gemena,3.25,19.7667,20.1,92,61,1.02,CD,1616471995
192,doka,13.5167,35.7667,27.37,27,21,3.15,SD,1616471995
193,aripuana,-9.1667,-60.6333,21.84,97,100,0.08,BR,1616471995
194,fonte boa,-2.4959,-66.2662,23.21,95,98,0.94,BR,1616471996
195,nizip,37.0097,37.7942,11.0,71,0,2.57,TR,1616471996
196,kashi,39.4547,75.9797,9.0,43,75,2.0,CN,1616471707
197,tigil,57.8,158.6667,-2.99,74,100,15.79,RU,1616471997
198,olafsvik,64.8945,-23.7142,2.35,65,97,11.41,IS,1616471997
199,kaitangata,-46.2817,169.8464,17.78,79,21,1.79,NZ,1616471997
200,maxixe,-23.8597,35.3472,22.98,78,97,4.52,MZ,1616471998
201,coquimbo,-29.9533,-71.3436,15.0,88,0,2.06,CL,1616471998
202,la ronge,55.1001,-105.2842,-11.0,52,77,3.6,CA,1616471998
203,ixtapa,20.7,-105.2,21.67,83,1,1.36,MX,1616471998
204,lerwick,60.1545,-1.1494,8.0,87,90,5.14,GB,1616471999
205,talkha,31.0539,31.3779,19.07,69,90,4.56,EG,1616471999
206,poum,-20.2333,164.0167,26.77,69,74,6.36,NC,1616471999
207,quatre cocos,-20.2078,57.7625,27.78,94,40,1.54,MU,1616471999
208,ahipara,-35.1667,173.1667,19.31,64,78,2.22,NZ,1616472000
209,nipawin,53.3668,-104.0009,-2.0,93,75,6.69,CA,1616472000
210,avera,33.194,-82.5271,14.0,72,1,2.57,US,1616472000
211,kruisfontein,-34.0033,24.7314,12.78,94,0,1.84,ZA,1616472000
212,kalmar,56.6616,16.3616,1.67,93,48,1.54,SE,1616472000
213,sioux lookout,50.1001,-91.917,-5.0,80,1,0.51,CA,1616472001
214,cherskiy,68.75,161.3,-10.86,63,100,2.67,RU,1616472001
215,hargeysa,9.56,44.065,18.25,38,3,1.81,SO,1616472002
216,mandera,3.9366,41.867,26.61,60,14,3.23,KE,1616472002
217,khatanga,71.9667,102.5,-23.25,78,89,3.32,RU,1616472002
218,bahile,9.9995,118.7878,32.0,74,20,8.23,PH,1616472002
219,dingle,10.9995,122.6711,30.39,63,94,7.54,PH,1616472003
220,richards bay,-28.783,32.0377,18.43,87,75,2.78,ZA,1616472003
221,alice springs,-23.7,133.8833,30.56,73,75,2.57,AU,1616472003
222,kutum,14.2,24.6667,23.42,23,5,1.13,SD,1616472004
223,carnarvon,-24.8667,113.6333,27.0,61,0,9.77,AU,1616471740
224,iwanai,42.9744,140.5089,5.31,62,39,6.22,JP,1616471769
225,mar del plata,-38.0023,-57.5575,18.33,88,99,3.95,AR,1616472004
226,nome,64.5011,-165.4064,-17.0,71,1,9.26,US,1616472005
227,rincon,32.296,-81.2354,17.0,77,1,2.06,US,1616472005
228,monroe,43.1501,-77.6831,11.11,49,1,2.06,US,1616472005
229,cabras,39.93,8.5314,4.24,74,0,1.74,IT,1616472006
230,jambi,-1.6,103.6167,30.72,59,89,1.94,ID,1616472006
231,geraldton,-28.7667,114.6,25.0,47,0,8.75,AU,1616471958
232,hualmay,-11.0964,-77.6139,21.6,83,67,3.98,PE,1616472006
233,moa,20.6569,-74.9403,22.59,86,93,0.95,CU,1616472007
234,trojes,41.756,19.962,7.0,45,75,2.57,AL,1616472007
235,riyadh,24.6877,46.7219,22.0,20,0,1.54,SA,1616471874
236,novaky,48.7111,18.5339,1.11,76,83,1.82,SK,1616472008
237,klaksvik,62.2266,-6.589,4.0,100,90,3.09,FO,1616472008
238,husavik,66.0449,-17.3389,3.0,44,0,5.66,IS,1616472008
239,monchique,37.3177,-8.5553,11.0,76,0,3.6,PT,1616472008
240,sertanopolis,-23.0586,-51.0364,26.0,73,0,2.15,BR,1616472008
241,thohoyandou,-22.9456,30.485,17.58,96,100,2.08,ZA,1616472009
242,razdolnoye,43.55,131.9167,7.0,49,97,6.0,RU,1616472009
243,hulst,51.28,4.0528,5.0,92,41,2.94,NL,1616472009
244,dongsheng,39.8161,109.9776,10.76,21,36,4.55,CN,1616472009
245,gao,16.6362,1.637,24.94,18,35,6.43,ML,1616472010
246,pajapan,18.25,-94.7,21.94,82,0,2.01,MX,1616472010
247,twante,16.7167,95.9333,31.0,66,40,2.06,MM,1616472010
248,yar-sale,66.8333,70.8333,-12.21,96,98,3.17,RU,1616472010
249,tura,25.5198,90.2201,33.26,11,0,2.56,IN,1616472011
250,saint-louis,16.3333,-15.0,23.0,35,0,2.06,SN,1616472011
251,clyde river,70.4692,-68.5914,-29.0,69,75,8.75,CA,1616472011
252,torbay,47.6666,-52.7314,3.0,56,1,8.75,CA,1616472011
253,arrecife,28.963,-13.5477,15.0,77,0,3.09,ES,1616472012
254,carutapera,-1.195,-46.02,22.38,94,78,0.88,BR,1616472012
255,algeciras,36.1333,-5.4505,13.0,54,16,3.09,ES,1616472012
256,andenes,69.3143,16.1194,5.0,75,75,8.75,NO,1616472012
257,alekseyevsk,57.8406,108.3492,-0.68,81,100,5.09,RU,1616472013
258,zhigansk,66.7697,123.3711,-26.49,86,74,5.37,RU,1616472013
259,hamilton,39.1834,-84.5333,13.33,54,40,1.9,US,1616472013
260,sheboygan,43.7333,-87.9334,11.11,62,90,1.54,US,1616472014
261,ures,29.4333,-110.4,18.33,22,82,3.58,MX,1616472014
262,berdigestyakh,62.0989,126.6992,-20.3,81,99,5.82,RU,1616472014
263,mendota,36.7536,-120.3816,12.0,62,1,2.06,US,1616472014
264,tilichiki,60.4667,166.1,-0.9,97,100,13.32,RU,1616472014
265,zvishavane,-20.3267,30.0665,17.79,95,100,3.33,ZW,1616472015
266,balikpapan,-1.2675,116.8289,30.6,57,93,1.94,ID,1616471771
267,sapa,5.1544,120.3241,28.32,73,95,0.51,PH,1616472015
268,nanakuli,21.3906,-158.1547,27.0,61,90,4.63,US,1616472015
269,bathsheba,13.2167,-59.5167,25.0,61,20,7.72,BB,1616472016
270,nakhon phanom,17.3333,104.4167,29.44,53,5,2.06,TH,1616472016
